LCSC,Ref,Status,Detail
C52923,C_HUB_RESET,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C52923,C_PWR_CTRL_OUT,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_BUCK_OUT1,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_BUCK_OUT2,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_PORT1_BULK,OK,fit=0.04mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_PORT2_BULK,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_PORT3_BULK,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_PORT4_BULK,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C342660,C_TRUNK_BULK,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C86462,J_UP,OK,fit=0.17mm jlc_offset=0 db=0.0 src=lcsc
C85047,Q_DATA1,OK,fit=0.20mm jlc_offset=180 db=180.0 src=lcsc
C85047,Q_DATA2,OK,fit=0.20mm jlc_offset=180 db=180.0 src=lcsc
C85047,Q_DATA3,OK,fit=0.20mm jlc_offset=180 db=180.0 src=lcsc
C85047,Q_DATA4,OK,fit=0.20mm jlc_offset=180 db=180.0 src=lcsc
C77036,C_AGG_DVDT,OK,fit=0.07mm jlc_offset=0 db=0.0 src=lcsc
C77036,C_AGG_TIMER,OK,fit=0.07mm jlc_offset=0 db=0.0 src=lcsc
C15269,L_MAIN,OK,fit=0.10mm jlc_offset=0 db=0.0 src=lcsc
C19271634,C_CTRL_VUSB,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C105871,R_I2C_SCL,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C105871,R_I2C_SDA,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C861404,R_AGG_OV_BOT,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C6053,U_AND_DATA,OK,fit=0.06mm jlc_offset=270 db=270.0 src=lcsc
C6053,U_AND_PWR,OK,fit=0.06mm jlc_offset=270 db=270.0 src=lcsc
C5248536,U_BUCK,OK,fit=0.06mm jlc_offset=270 db=270.0 src=lcsc
C1985204,Y_HUB,OK,fit=0.05mm jlc_offset=0 db=0.0 src=lcsc
C11355,U_DATA1,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C11355,U_DATA2,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C11355,U_DATA3,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C11355,U_DATA4,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C503996,J_PORT1,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C503996,J_PORT2,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C503996,J_PORT3,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C503996,J_PORT4,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C640876,U_CTRL,OK,fit=0.15mm jlc_offset=270 db=270.0 src=lcsc
C558584,U_EXP,OK,fit=0.04mm jlc_offset=270 db=270.0 src=lcsc
C3708426,U_ESD1,OK,fit=0.22mm jlc_offset=180 db=180.0 src=lcsc
C3708426,U_ESD2,OK,fit=0.22mm jlc_offset=180 db=180.0 src=lcsc
C3708426,U_ESD3,OK,fit=0.22mm jlc_offset=180 db=180.0 src=lcsc
C3708426,U_ESD4,OK,fit=0.22mm jlc_offset=180 db=180.0 src=lcsc
C3708426,U_ESD_UP,OK,fit=0.22mm jlc_offset=180 db=180.0 src=lcsc
C130056,U_PWR1,PAD-MULTIPLICITY,"pad number(s) 9 appear a different number of times on the two footprints (ours {'9': 8} vs JLC {'9': 1}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C130056,U_PWR1,OK,fit=0.05mm jlc_offset=270 db=270.0 src=lcsc
C130056,U_PWR2,PAD-MULTIPLICITY,"pad number(s) 9 appear a different number of times on the two footprints (ours {'9': 8} vs JLC {'9': 1}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C130056,U_PWR2,OK,fit=0.05mm jlc_offset=270 db=270.0 src=lcsc
C130056,U_PWR3,PAD-MULTIPLICITY,"pad number(s) 9 appear a different number of times on the two footprints (ours {'9': 8} vs JLC {'9': 1}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
