LCSC,Ref,Status,Detail
C4190,R72,OK,fit=0.08mm jlc_offset=0 db=0.0
C4190,R75,OK,fit=0.07mm jlc_offset=0 db=0.0
C4190,R76,OK,fit=0.08mm jlc_offset=0 db=0.0
C23138,R26,OK,fit=0.08mm jlc_offset=0 db=0.0
C23140,R41,OK,fit=0.08mm jlc_offset=0 db=0.0
C23140,R42,OK,fit=0.08mm jlc_offset=0 db=0.0
C23140,R43,OK,fit=0.08mm jlc_offset=0 db=0.0
C23140,R44,OK,fit=0.07mm jlc_offset=0 db=0.0
C23150,R11,OK,fit=0.08mm jlc_offset=0 db=0.0
C22978,R31,OK,fit=0.08mm jlc_offset=0 db=0.0
C22978,R33,OK,fit=0.08mm jlc_offset=0 db=0.0
C25819,R23,OK,fit=0.08mm jlc_offset=0 db=0.0
C23162,R73,OK,fit=0.08mm jlc_offset=0 db=0.0
C23162,R74,OK,fit=0.08mm jlc_offset=0 db=0.0
C23162,R77,OK,fit=0.08mm jlc_offset=0 db=0.0
C23162,R78,OK,fit=0.08mm jlc_offset=0 db=0.0
C1017,FB1,OK,fit=0.09mm jlc_offset=0 db=0.0
C6820,U11,ROT-DB-SUGGEST,"fit=0.15mm jlc_offset=90 db=270.0 -> add: SOIC-14_3.9x8.7mm_P1.27mm,90"
C10092,U3,PAD-GEOM,pad 1<->16 ours 4.95mm vs JLC 5.48mm (d0.53mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C10092,U3,ROT-DB-SUGGEST,"fit=0.27mm jlc_offset=90 db=270.0 -> add: SOIC-16_3.9x9.9mm_P1.27mm,90"
C10092,U4,PAD-GEOM,pad 1<->16 ours 4.95mm vs JLC 5.48mm (d0.53mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C10092,U4,ROT-DB-SUGGEST,"fit=0.27mm jlc_offset=90 db=270.0 -> add: SOIC-16_3.9x9.9mm_P1.27mm,90"
C8185,U8,OK,fit=0.00mm jlc_offset=180 db=180.0
C22046,U9,PAD-GEOM,pad 1<->6 ours 2.28mm vs JLC 2.70mm (d0.42mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C22046,U9,ROT-DB-SUGGEST,"fit=0.21mm jlc_offset=180 db=-90.0 -> add: SOT-23-6,180"
C6186,U12,OK,fit=0.27mm jlc_offset=180 db=180.0
C15127,Q1,PAD-GEOM,pad 1<->3 ours 2.10mm vs JLC 2.49mm (d0.39mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C15127,Q1,ROT-DB-SUGGEST,"fit=0.28mm jlc_offset=180 db=-90.0 -> add: SOT-23,180"
C15127,Q3,PAD-GEOM,pad 1<->3 ours 2.10mm vs JLC 2.49mm (d0.39mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C15127,Q3,ROT-DB-SUGGEST,"fit=0.28mm jlc_offset=180 db=-90.0 -> add: SOT-23,180"
C144394,J7,OK,fit=0.00mm jlc_offset=0 db=0.0
