Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
10uF 50V,"C_PD_IN1,C_PD_IN2,C_BUCK_A_IN1,C_BUCK_A_IN2,C_BUCK_B_IN1,C_BUCK_B_IN2,C_MAIN_IN",C_1210_3225Metric,C5449000,7,OK,C5449000,expand,170500,TCC1206X7R106K500HT,CCTC,1206,0.2974
MCP23017T-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C558584,1,OK,C558584,expand,3497,MCP23017T-E/SS,Microchip Tech,SSOP-28,1.721
100nF 16V,"C_AGG_A_IN,C_AGG_B_IN,C_AND_DATA,C_AND_PWR,C_BANK_A_HF,C_BANK_B_HF,C_BST,C_BST_A,C_BST_B,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF",C_0402_1005Metric,C60474,32,OK,C60474,expand,12433725,CC0402KRX7R7BB104,YAGEO,0402,0.0056
74LVC08APW,"U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,C6053,2,OK,C6053,expand,1358,"74LVC08APW,118",Nexperia,TSSOP-14,0.1381
MCP2221A-I/ST factory USB bridge,U_CTRL,TSSOP-14_4.4x5mm_P0.65mm,C130462,1,OK,C130462,expand,380,MCP2221A-I/ST,Microchip Tech,TSSOP-14,3.4306
TPS56637 6A buck,"U_BUCK_A,U_BUCK_B",VQFN-13-1EP_3.5x3.5mm_P0.5mm_EP2.65x2.65mm,C841386,2,OK,C841386,expand,2398,TPS56637RPAR,Texas Instruments,VQFN-10-HR(3x3),2.5272
2N7002K,"Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4",SOT-23,C85047,4,OK,C85047,expand,19124,2N7002K-7,Diodes Incorporated,SOT-23,0.1206
75k 0.1%,"R_FB_A_TOP,R_FB_B_TOP",R_0402_1005Metric,C319478,2,OK,C319478,expand,9319,AR02BTD7502,Viking Tech,0402,0.032
1.40k 1%,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4",R_0603_1608Metric,C178086,4,OK,C178086,expand,19068,RCT031K4FLF,HKR(Hong Kong Resistors),0603,0.0016
CH224K PD sink,U_PD,ESSOP-10_3.9x4.9mm_P1.0mm,C970725,1,OK,C970725,expand,7247,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4883
TPS16630 input eFuse,U_PD_IN,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.3x5.1mm,C1849461,1,OK,C1849461,expand,1651,TPS16630PWPR,Texas Instruments,HTSSOP-20,2.6277
TVS2200 22V surge clamp,D_PD_TVS,VSON-10-1EP_3.3x3.3mm_P0.65mm_EP1.58x2.47mm,C523793,1,OK,C523793,expand,6911,TVS2200DRVR,Texas Instruments,WSON-6-EP(2x2),0.4625
