Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
MCP23017T-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C558584,1,5,205,3402,OK,C558584,expand,3407,MCP23017T-E/SS,Microchip Tech,SSOP-28,1.722
MWSA0804S-3R3MT,"L_BUCK_A,L_BUCK_B",Sunlord_MWSA0804S,C17700166,2,10,210,289,OK,C17700166,expand,299,MWSA0804S-3R3MT,Sunlord,"SMD,8.8x8.2mm",0.2626
PESD2USB5UX-TR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",SOT-23,C3709087,5,25,225,11498,OK,C3709087,expand,11523,PESD2USB5UX-TR,Nexperia,TO-236AB,0.409
TPS16630PWPR,U_PD_IN,Texas_PWP0020A,C1849461,1,5,205,1639,OK,C1849461,expand,1644,TPS16630PWPR,Texas Instruments,HTSSOP-20,2.6292
TPS2557DRBR,U_PWR_CTRL,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056,1,5,205,2422,OK,C130056,expand,2427,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2448
TPS259470ARPWR,"U_PWR1,U_PWR2,U_PWR3,U_PWR4",TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm,C3662799,4,20,220,1380,OK,C3662799,expand,1400,TPS259470ARPWR,Texas Instruments,QFN-10(2x2),1.4039
TPS259827ONRGET,"U_AGG_A,U_AGG_B",TI_TPS25982_RGE0024_SplitPad_ThermalVias,C2155765,2,10,210,593,OK,C2155765,expand,603,TPS259827ONRGET,Texas Instruments,VQFN-24(4x4),6.5551
TPS56637RPAR,"U_BUCK_A,U_BUCK_B",TI_RPA0010A_VQFN-HR-10_3x3mm,C841386,2,10,210,2302,OK,C841386,expand,2312,TPS56637RPAR,Texas Instruments,VQFN-10-HR(3x3),2.5286
TVS2200DRVR,D_PD_TVS,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C523793,1,5,205,6901,OK,C523793,expand,6906,TVS2200DRVR,Texas Instruments,WSON-6-EP(2x2),0.4628
TYPE-C-31-M-12,"J_DATA,J_POWER",TYPE-C-31-M-12_Datasheet,C165948,2,10,210,407975,OK,C165948,expand,407985,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,0.1854
USB2517I-JZX,U_HUB,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,C478081,1,5,205,5212,OK,C478081,expand,5217,USB2517I-JZX,Microchip Tech,QFN-64-EP(9x9),4.3025
X322524MOB4SI,Y_HUB,Crystal_SMD_3225-4Pin_3.2x2.5mm,C70590,1,5,205,91679,OK,C70590,expand,91684,X322524MOB4SI,YXC Crystal Oscillators,SMD3225-4P,0.0939
